"filename", "language", "PHP", "SCSS", "JavaScript", "XML", "CSS", "SQL", "Markdown", "HTML", "JSON", "Less", "TypeScript", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\mixins\_navbar.scss", "SCSS", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 35
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\mixins\_sidebar.scss", "SCSS", 0, 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 26, 166
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\mixins\_toasts.scss", "SCSS", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 24
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\pages\_404_500_errors.scss", "SCSS", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 44
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\pages\_e-commerce.scss", "SCSS", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 46
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\pages\_invoice.scss", "SCSS", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 14
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\pages\_lockscreen.scss", "SCSS", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 14, 79
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\pages\_login_and_register.scss", "SCSS", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17, 98
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\pages\_mailbox.scss", "SCSS", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19, 100
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\pages\_profile.scss", "SCSS", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 38
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\pages\_projects.scss", "SCSS", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 27
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\parts\_components.scss", "SCSS", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 15
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\parts\_core.scss", "SCSS", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 13
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\parts\_extra-components.scss", "SCSS", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 12
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\parts\_miscellaneous.scss", "SCSS", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 10
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\parts\_pages.scss", "SCSS", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 13
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\parts\_plugins.scss", "SCSS", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 17
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\plugins\_bootstrap-slider.scss", "SCSS", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 36
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\plugins\_bootstrap-switch.scss", "SCSS", 0, 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 25, 176
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\plugins\_fullcalendar.scss", "SCSS", 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24, 132
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\plugins\_icheck-bootstrap.scss", "SCSS", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 42
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\plugins\_jqvmap.scss", "SCSS", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 22
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\plugins\_mapael.scss", "SCSS", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 71
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\plugins\_miscellaneous.scss", "SCSS", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 40
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\plugins\_mixins.scss", "SCSS", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12, 75
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\plugins\_pace.scss", "SCSS", 0, 170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 38, 212
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\plugins\_select2.scss", "SCSS", 0, 205, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 50, 276
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\plugins\_sweetalert2.scss", "SCSS", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 41
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\plugins\_toastr.scss", "SCSS", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 9, 61
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\composer.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 26
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\dist\css\adminlte.css", "CSS", 0, 0, 0, 0, 26045, 0, 0, 0, 0, 0, 0, 0, 21, 5155, 31221
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\dist\css\adminlte.min.css", "CSS", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 10, 0, 12
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\dist\css\alt\adminlte.components.css", "CSS", 0, 0, 0, 0, 4145, 0, 0, 0, 0, 0, 0, 0, 8, 1055, 5208
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\dist\css\alt\adminlte.components.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 7, 0, 8
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\dist\css\alt\adminlte.core.css", "CSS", 0, 0, 0, 0, 14774, 0, 0, 0, 0, 0, 0, 0, 14, 2526, 17314
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\dist\css\alt\adminlte.core.min.css", "CSS", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 13
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\dist\css\alt\adminlte.extra-components.css", "CSS", 0, 0, 0, 0, 875, 0, 0, 0, 0, 0, 0, 0, 8, 182, 1065
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\dist\css\alt\adminlte.extra-components.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 7, 0, 8
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\dist\css\alt\adminlte.pages.css", "CSS", 0, 0, 0, 0, 360, 0, 0, 0, 0, 0, 0, 0, 8, 77, 445
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\dist\css\alt\adminlte.pages.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 7, 0, 8
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\dist\css\alt\adminlte.plugins.css", "CSS", 0, 0, 0, 0, 5151, 0, 0, 0, 0, 0, 0, 0, 16, 1303, 6470
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\dist\css\alt\adminlte.plugins.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 7, 0, 8
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\dist\js\adminlte.js", "JavaScript", 0, 0, 1362, 0, 0, 0, 0, 0, 0, 0, 0, 0, 223, 312, 1897
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\dist\js\adminlte.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\dist\js\demo.js", "JavaScript", 0, 0, 379, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 42, 427
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\dist\js\pages\dashboard.js", "JavaScript", 0, 0, 217, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 23, 265
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\dist\js\pages\dashboard2.js", "JavaScript", 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 161, 14, 268
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\dist\js\pages\dashboard3.js", "JavaScript", 0, 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 141
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\docs\404.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 3, 27
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\docs\_config.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 17, 6, 107
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\docs\_includes\foot.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\docs\_includes\footer.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\docs\_includes\head.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\docs\_includes\navbar.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 14, 3, 37
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\docs\_includes\sidebar.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 4, 52
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\docs\_layouts\default.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 7, 20
